1,2,3,4,5
2018/2/22,1286,12989,5621610.35,0.044
2018/2/23,1286,13271,5068362.499,0.0437
2018/2/24,1286,13698,2154729.116,0.0306
2018/2/22,1510,0,0,0.0148
2018/2/23,1510,0,0,0.0149
2018/2/24,1510,0,0,0.0149
2018/2/22,1119,5033,7510013.214,0.0205
2018/2/23,1119,6488,3732001.505,0.0179
2018/2/24,1119,8488,7477155.764,0.0256
2018/2/22,1945,4859,793110.151,0.0069
2018/2/23,1945,5862,1124992.183,0.0085
2018/2/24,1945,1762,593457.865,0.0075
2018/2/22,1708,28139,1888777.393,0.0222
2018/2/23,1708,40131,6046648.618,0.0418
2018/2/24,1708,45848,5720416.098,0.0405
2018/2/22,1449,9780,6137757.755,0.0373
2018/2/23,1449,11108,8159659.96,0.0505
2018/2/24,1449,11162,12775639.33,0.0477
2018/2/22,1205,14606,3447076.54,0.0242
2018/2/23,1205,13299,2713930.713,0.0206
2018/2/24,1205,13505,2163212.116,0.0199
2018/2/22,1255,22328,21754943.96,0.0833
2018/2/23,1255,22017,16081291.66,0.0692
2018/2/24,1255,22748,17191323.02,0.0809
2018/2/22,1958,51735,24505493.23,0.0485
2018/2/23,1958,50863,18274911.38,0.0411
2018/2/24,1958,47016,25204006.71,0.0512
2018/2/22,1359,90224,38087475.67,0.1152
2018/2/23,1359,89974,37186452.67,0.1272
2018/2/24,1359,84104,42828376.97,0.1261
2018/2/22,1221,0,47.494,0.0071
2018/2/23,1221,2,6.47,0.0072
2018/2/24,1221,1,495.286,0.0072
2018/2/22,1100,48521,25567802.82,0.0919
2018/2/23,1100,49153,23974339.7,0.0877
2018/2/24,1100,51656,31864320.84,0.1175
2018/2/22,1655,4779,2357220.15,0.0173
2018/2/23,1655,4450,2550559.711,0.0183
2018/2/24,1655,5020,5183615.608,0.0273
2018/2/22,1956,21,976.146,0.0069
2018/2/23,1956,4677,1859663.766,0.0114
2018/2/24,1956,6261,3283415.308,0.0137
2018/2/22,1960,27605,14815540.49,0.0675
2018/2/23,1960,28422,13124020.54,0.0496
2018/2/24,1960,29106,26649149.29,0.0778
2018/2/22,1000,39581,19609084.24,0.0838
2018/2/23,1000,37520,23751982.16,0.1015
2018/2/24,1000,37489,23281206.65,0.0967
2018/2/22,1547,5539,1304593.371,0.0102
2018/2/23,1547,5265,2979319.925,0.0155
2018/2/24,1547,5627,1339705.904,0.0102
2018/2/22,1899,2380,1272748.414,0.0132
2018/2/23,1899,2308,1369847.893,0.0139
2018/2/24,1899,1952,2298825.402,0.0182
2018/2/22,1132,45609,10632015.5,0.0338
2018/2/23,1132,45117,12324903.32,0.0371
2018/2/24,1132,51961,18021399.37,0.0448
2018/2/22,1804,18140,17121393.5,0.0505
2018/2/23,1804,22681,28193645.73,0.0746
2018/2/24,1804,23401,19681125.93,0.0634
2018/2/22,1672,13460,12199916.81,0.1115
2018/2/23,1672,17495,7673959.863,0.0986
2018/2/24,1672,21854,12377015.22,0.1304
2018/2/22,1929,7163,5299138.32,0.0273
2018/2/23,1929,7312,3310043.765,0.0222
2018/2/24,1929,7210,3455822.364,0.0207
2018/2/22,1536,14068,12324813.4,0.0845
2018/2/23,1536,14611,11408526.58,0.0675
2018/2/24,1536,13071,8309395.367,0.0579
2018/2/22,1123,10127,2439458.217,0.0156
2018/2/23,1123,9594,6647577.026,0.026
2018/2/24,1123,8941,5352001.632,0.0212
2018/2/22,1811,144,1407.879,0.0074
2018/2/23,1811,1120,203012.931,0.0084
2018/2/24,1811,1202,304676.389,0.0088
2018/2/22,1730,5594,2509859.662,0.0166
2018/2/23,1730,6752,4002433.317,0.0217
2018/2/24,1730,7131,4074952.179,0.0206
2018/2/22,1020,32010,17604873.86,0.0612
2018/2/23,1020,33544,17405379.17,0.0621
2018/2/24,1020,35945,22140663.45,0.0742
2018/2/22,1903,8444,1853243.795,0.0245
2018/2/23,1903,8857,1549465.876,0.0208
2018/2/24,1903,9010,4439962.309,0.0374
2018/2/22,1837,5188,4958421.283,0.0249
2018/2/23,1837,7695,7185086.452,0.0285
2018/2/24,1837,13701,21812760.61,0.0538
2018/2/22,1003,7986,7776751.503,0.0178
2018/2/23,1003,6250,4408302.984,0.0127
2018/2/24,1003,6714,5925985.138,0.0162
2018/2/22,1756,2924,1856631.011,0.0225
2018/2/23,1756,3026,595543.575,0.0184
2018/2/24,1756,3712,854652.422,0.0199
2018/2/22,1461,35021,12347072.81,0.0343
2018/2/23,1461,35468,12308683.61,0.0375
2018/2/24,1461,35203,16641483.17,0.0436
2018/2/22,1575,223,38063.343,0.0148
2018/2/23,1575,222,20717.255,0.0148
2018/2/24,1575,398,96840.813,0.0153
2018/2/22,1834,21397,15110720.04,0.0569
2018/2/23,1834,24063,12553414.08,0.0536
2018/2/24,1834,26136,14787044.49,0.0669
2018/2/22,1423,29314,8039012.89,0.0368
2018/2/23,1423,27466,8586998.934,0.0388
2018/2/24,1423,30308,8066434.311,0.0409
2018/2/22,1716,57302,34239331.69,0.087
2018/2/23,1716,57099,31604554.42,0.0933
2018/2/24,1716,56749,34111058.67,0.089
2018/2/22,1342,7555,1190075.022,0.0119
2018/2/23,1342,7527,1026759.94,0.0114
2018/2/24,1342,8054,600692.641,0.0108
2018/2/22,1266,43574,17743416.88,0.0517
2018/2/23,1266,44067,43710709.77,0.1017
2018/2/24,1266,38865,43750908.93,0.0934
2018/2/22,1807,1207,1377194.113,0.0166
2018/2/23,1807,1158,537934.155,0.0115
2018/2/24,1807,1235,1276896.535,0.0158
2018/2/22,1846,4989,991791.318,0.0124
2018/2/23,1846,5857,1100072.019,0.0126
2018/2/24,1846,5813,1102101.246,0.0127
2018/2/22,1162,1103,2217259.891,0.0122
2018/2/23,1162,738,343357.687,0.0083
2018/2/24,1162,535,147160.046,0.0082
2018/2/22,1520,3491,1025724.38,0.0108
2018/2/23,1520,3563,4263257.368,0.0169
2018/2/24,1520,3073,2632800.19,0.0139
2018/2/22,1517,1778,551669.409,0.0176
2018/2/23,1517,2235,215441.665,0.0161
2018/2/24,1517,2328,335287.533,0.0185
2018/2/22,1979,4438,2807941.744,0.019
2018/2/23,1979,6707,1238396.582,0.0148
2018/2/24,1979,40487,14422790.68,0.0319
2018/2/22,1876,30143,10625237.75,0.0464
2018/2/23,1876,28694,13258592.23,0.0515
2018/2/24,1876,29958,21505498.54,0.0808
2018/2/22,1554,94951,40467284.67,0.1171
2018/2/23,1554,90416,43074390.24,0.1177
2018/2/24,1554,94467,39297066.67,0.1033
2018/2/22,1932,38895,10883573.77,0.0371
2018/2/23,1932,39636,15373362.95,0.0485
2018/2/24,1932,40888,16172423.63,0.0501
2018/2/22,1420,38390,20497954.54,0.0519
2018/2/23,1420,32724,17040570.75,0.0459
2018/2/24,1420,35107,22290510.53,0.0526
2018/2/22,1988,88894,44390032.03,0.0835
2018/2/23,1988,98072,52210941.01,0.0962
2018/2/24,1988,96313,42632782.38,0.0891
2018/2/22,1247,0,0,/0
2018/2/23,1247,0,0,/0
2018/2/24,1247,0,0,/0
2018/2/22,1309,47212,23831448.83,0.1117
2018/2/23,1309,48437,26876247.55,0.1252
2018/2/24,1309,49359,31490286.11,0.1429
2018/2/22,1969,10715,8643893.105,0.0277
2018/2/23,1969,9612,11070374.91,0.0339
2018/2/24,1969,11909,6634153.68,0.0287
2018/2/22,1630,1018,340462.125,0.0078
2018/2/23,1630,1219,144685.428,0.0064
2018/2/24,1630,1565,162910.984,0.0067
2018/2/22,1760,64244,26412489.56,0.0656
2018/2/23,1760,61951,26360964.95,0.0616
2018/2/24,1760,61078,43136460.68,0.0893
2018/2/22,1233,112213,74204755.02,0.1351
2018/2/23,1233,111566,72291270.28,0.1377
2018/2/24,1233,114969,82200092.86,0.1543
2018/2/22,1728,11205,2646398.763,0.0156
2018/2/23,1728,10204,2336182.24,0.0151
2018/2/24,1728,6193,3247461.542,0.0163
2018/2/22,1593,10,48422.409,0.0072
2018/2/23,1593,495,342875.462,0.0083
2018/2/24,1593,364,34820.078,0.0073
2018/2/22,1934,271,36015.657,0.0074
2018/2/23,1934,684,84895.296,0.0075
2018/2/24,1934,218,262470,0.0084
2018/2/22,1645,21361,34475993.08,0.0975
2018/2/23,1645,23152,32782484.61,0.1012
2018/2/24,1645,22870,30858498.02,0.0805
2018/2/22,1005,0,0,/0
2018/2/23,1005,0,0,/0
2018/2/24,1005,0,0,/0
2018/2/22,1373,8987,3081843.431,0.0222
2018/2/23,1373,9967,3710809.655,0.0251
2018/2/24,1373,9664,6054467.606,0.0283
2018/2/22,1794,1083,308670.029,0.0084
2018/2/23,1794,852,56697.63,0.0076
2018/2/24,1794,1534,261856.091,0.0086
2018/2/22,1757,8621,5644348.734,0.0255
2018/2/23,1757,8242,6950583.498,0.0327
2018/2/24,1757,8459,10207157.24,0.0413
2018/2/22,1052,2899,4916358.257,0.0163
2018/2/23,1052,2853,4925127.169,0.0169
2018/2/24,1052,2997,3662283.469,0.0161
2018/2/22,1718,1884,3360701.766,0.0201
2018/2/23,1718,2381,1997589.536,0.0135
2018/2/24,1718,2373,1037922.669,0.0119
2018/2/22,1812,38857,36709660.1,0.1331
2018/2/23,1812,40131,36376429.1,0.1271
2018/2/24,1812,47683,39298133.09,0.1325
2018/2/22,1599,37756,27637003.78,0.071
2018/2/23,1599,41423,24419797.39,0.0626
2018/2/24,1599,40575,22809231.85,0.0634
2018/2/22,1590,653,117518.328,0.0092
2018/2/23,1590,633,199922.206,0.0109
2018/2/24,1590,585,522727.424,0.0101
