1,2,3,4,5
2018/2/16,1286,4492,1913193.056,0.0246
2018/2/17,1286,4681,4430090.559,0.0349
2018/2/18,1286,4076,1389623.312,0.0221
2018/2/16,1510,0,0,0.0143
2018/2/17,1510,0,0,0.0142
2018/2/18,1510,0,0,0.0143
2018/2/16,1119,12255,8631410.355,0.0253
2018/2/17,1119,7103,5114380.548,0.0194
2018/2/18,1119,4141,7038124.998,0.019
2018/2/16,1945,738,272810.173,0.0058
2018/2/17,1945,449,70384.99,0.0052
2018/2/18,1945,447,104449.357,0.0054
2018/2/16,1708,22728,3353785.085,0.0276
2018/2/17,1708,23710,3136775.814,0.0263
2018/2/18,1708,27233,3184961.064,0.0263
2018/2/16,1449,7430,9794245.775,0.0472
2018/2/17,1449,5563,5016953.978,0.0266
2018/2/18,1449,7547,4174712.87,0.0291
2018/2/16,1205,5721,1948330.655,0.0156
2018/2/17,1205,6530,3225625.849,0.0186
2018/2/18,1205,8306,1836498.312,0.0165
2018/2/16,1255,32733,16343846.09,0.0674
2018/2/17,1255,29446,23262091.71,0.0826
2018/2/18,1255,28529,21181686.73,0.0711
2018/2/16,1958,56873,26652499.43,0.0513
2018/2/17,1958,51724,26077067.63,0.0494
2018/2/18,1958,51069,36660406.53,0.0585
2018/2/16,1359,93677,43439668.88,0.159
2018/2/17,1359,94076,60058024.73,0.1967
2018/2/18,1359,86779,51541815.82,0.1523
2018/2/16,1221,0,1.721,0.007
2018/2/17,1221,0,0,0.0069
2018/2/18,1221,0,0,0.0069
2018/2/16,1100,47506,17639800.69,0.0803
2018/2/17,1100,49667,19371369.91,0.0819
2018/2/18,1100,44862,19063368.76,0.0789
2018/2/16,1655,57,347.556,0.0064
2018/2/17,1655,6,285.933,0.0064
2018/2/18,1655,162,86020.205,0.0069
2018/2/16,1956,1,0.599,0.0068
2018/2/17,1956,7,5.645,0.0067
2018/2/18,1956,0,0,0.0068
2018/2/16,1960,32903,21782047.63,0.0781
2018/2/17,1960,26308,18171136.7,0.0678
2018/2/18,1960,26168,16573581.83,0.0735
2018/2/16,1000,54885,32501266.71,0.1218
2018/2/17,1000,52297,30697289.8,0.1195
2018/2/18,1000,49101,30885677.06,0.1201
2018/2/16,1547,5385,949927.972,0.0094
2018/2/17,1547,5421,1912452.132,0.0111
2018/2/18,1547,3898,1828777.334,0.0115
2018/2/16,1899,447,163046.364,0.0078
2018/2/17,1899,145,135830.953,0.0074
2018/2/18,1899,440,180575.362,0.0078
2018/2/16,1132,48842,25324388.5,0.0525
2018/2/17,1132,48426,21627070.12,0.0471
2018/2/18,1132,51590,15948381.01,0.0376
2018/2/16,1804,3425,14285112.4,0.0388
2018/2/17,1804,3339,14156091.69,0.0452
2018/2/18,1804,3442,10526243.17,0.0335
2018/2/16,1672,9975,1893497.793,0.0348
2018/2/17,1672,10314,3367568.477,0.0449
2018/2/18,1672,10448,2971696.754,0.0521
2018/2/16,1929,4425,2030095.832,0.016
2018/2/17,1929,4280,2990841.188,0.0171
2018/2/18,1929,3835,4441907.16,0.0213
2018/2/16,1536,13784,10710289.4,0.0768
2018/2/17,1536,10643,10865007.84,0.0727
2018/2/18,1536,11299,11767156.2,0.0715
2018/2/16,1123,8962,2245399.113,0.0138
2018/2/17,1123,8110,2463268.695,0.0148
2018/2/18,1123,7618,3717827.781,0.0179
2018/2/16,1811,65,284.637,0.0071
2018/2/17,1811,46,38847.393,0.0072
2018/2/18,1811,56,196.742,0.007
2018/2/16,1730,4484,1879305.387,0.0136
2018/2/17,1730,5327,2064020.867,0.0145
2018/2/18,1730,5758,2570707.824,0.0155
2018/2/16,1020,35658,17703935.32,0.0606
2018/2/17,1020,26450,14447455.07,0.0531
2018/2/18,1020,26465,10723015.2,0.0414
2018/2/16,1903,6880,1896588.133,0.0188
2018/2/17,1903,6166,1339590.288,0.0174
2018/2/18,1903,7135,1943412.512,0.0179
2018/2/16,1837,3748,5352663.794,0.0212
2018/2/17,1837,4608,2130442.366,0.0171
2018/2/18,1837,3538,1837483.962,0.0147
2018/2/16,1003,3539,6104647.611,0.0137
2018/2/17,1003,3257,4384467.448,0.0138
2018/2/18,1003,2966,2775109.345,0.0096
2018/2/16,1756,4768,295975.883,0.0173
2018/2/17,1756,3222,725731.137,0.0198
2018/2/18,1756,2968,525320.482,0.0176
2018/2/16,1461,1918,1262672.973,0.0115
2018/2/17,1461,1930,2069562.352,0.0121
2018/2/18,1461,2538,3221732.612,0.0157
2018/2/16,1575,64,716.696,0.0145
2018/2/17,1575,38,4776.313,0.0144
2018/2/18,1575,92,8617.692,0.0144
2018/2/16,1834,22594,9840815.315,0.0364
2018/2/17,1834,23516,10241440.71,0.0395
2018/2/18,1834,21831,13285848.95,0.0457
2018/2/16,1423,30724,12472611.95,0.0497
2018/2/17,1423,31048,11619832.12,0.0532
2018/2/18,1423,25880,7469308.223,0.0351
2018/2/16,1716,67382,22881270.43,0.0647
2018/2/17,1716,52191,21990877.05,0.0628
2018/2/18,1716,54712,17139007.15,0.051
2018/2/16,1342,9948,1575175.28,0.0143
2018/2/17,1342,8681,1218136.14,0.0113
2018/2/18,1342,8522,709693.186,0.0105
2018/2/16,1266,36845,20772735.94,0.0506
2018/2/17,1266,38211,31160820.33,0.0622
2018/2/18,1266,37252,21856505.86,0.0505
2018/2/16,1807,642,310725.594,0.0101
2018/2/17,1807,569,587398.969,0.0121
2018/2/18,1807,734,463571.733,0.0106
2018/2/16,1846,3244,911126.828,0.011
2018/2/17,1846,3190,1099723.82,0.0127
2018/2/18,1846,4305,878562.821,0.0116
2018/2/16,1162,1450,1106523.574,0.0095
2018/2/17,1162,941,2428279.024,0.0114
2018/2/18,1162,806,247482.305,0.0079
2018/2/16,1520,3642,2184364.412,0.0135
2018/2/17,1520,3923,4252186.621,0.0167
2018/2/18,1520,4416,3818984.937,0.0143
2018/2/16,1517,2377,400439.761,0.0193
