['4577.2876'],['5113945.5'],['0.034418438']
['6890.571'],['6006388.5'],['0.031944197']
['4261.0225'],['3194910.8'],['0.026032181']
['5116.9473'],['3626009.0'],['0.029434996']
['4830.5728'],['5248624.5'],['0.03351203']
['5479.603'],['4916348.5'],['0.035050817']
['5529.476'],['3457411.2'],['0.028887957']
['4544.602'],['5736111.5'],['0.035544407']
['5589.5024'],['3732896.2'],['0.028647378']
['5285.6943'],['4851160.5'],['0.03249551']
['5762.6943'],['6372626.5'],['0.036468085']
['6729.0415'],['6623593.5'],['0.037326265']
['4779.977'],['7929058.0'],['0.03828126']
['5280.5317'],['5870225.5'],['0.035178337']
['5437.9775'],['4585656.0'],['0.03156022']
['5232.3975'],['5650059.5'],['0.03630544']
['5349.522'],['3950732.2'],['0.030182315']
['5408.3867'],['3080080.5'],['0.026586378']
['5333.441'],['4985383.0'],['0.034876447']
['4303.3755'],['3442973.5'],['0.028808175']
['3722.2693'],['3793882.0'],['0.027561508']
['4787.9062'],['5122717.5'],['0.035303093']
['5275.365'],['5073079.5'],['0.03432299']
['6132.2056'],['5073079.5'],['3893762.0']
