['12001.7705'],['4999731.5'],['0.019390196']
['13415.638'],['15990962.0'],['0.023476718']
['12356.477'],['5473594.0'],['0.018798456']
['12292.575'],['8045709.0'],['0.020951217']
['12626.854'],['5439084.5'],['0.019110907']
['12599.816'],['4066340.5'],['0.01755178']
['12929.911'],['4788219.5'],['0.018092897']
['12636.496'],['4256035.5'],['0.018036969']
['12215.825'],['5194309.0'],['0.018639142']
['12914.247'],['5573008.5'],['0.019440254']
['12500.663'],['6785162.5'],['0.020141687']
['13088.702'],['11527048.0'],['0.021434607']
['13260.398'],['7838805.5'],['0.019638287']
['12685.555'],['6969877.0'],['0.018903518']
['13370.072'],['10237401.0'],['0.020487033']
['13697.831'],['8325241.5'],['0.020666486']
['12852.066'],['5283537.5'],['0.019638287']
['13850.281'],['5193563.5'],['0.018396247']
['12444.321'],['5596997.0'],['0.01892964']
['12808.123'],['7486388.0'],['0.019784527']
['12545.614'],['6140663.0'],['0.019264081']
['12168.699'],['7509457.5'],['0.019339917']
['12936.605'],['6056525.0'],['0.0190594']
['12872.907'],['6056525.0'],['3779028.2']
