['37590.09'],['19633936.0'],['0.06826762']
['44554.81'],['20351404.0'],['0.07433554']
['41198.2'],['17953284.0'],['0.060459055']
['34884.773'],['19365196.0'],['0.07106598']
['35280.844'],['18309726.0'],['0.06304337']
['37151.66'],['19214508.0'],['0.067639485']
['39329.152'],['19530786.0'],['0.06623353']
['41334.27'],['17701340.0'],['0.061265964']
['36141.332'],['18370300.0'],['0.062635615']
['37592.902'],['19504284.0'],['0.06561192']
['40085.586'],['19160214.0'],['0.06921359']
['41413.42'],['18852304.0'],['0.06391279']
['40722.086'],['18385818.0'],['0.062482942']
['38522.242'],['18358326.0'],['0.06050939']
['35984.402'],['18884222.0'],['0.06411794']
['38592.617'],['18876582.0'],['0.066337325']
['38938.34'],['19551754.0'],['0.06832006']
['41697.32'],['20067732.0'],['0.068582445']
['41443.12'],['19371670.0'],['0.067691766']
['38517.703'],['19060042.0'],['0.06278842']
['34868.324'],['16700123.0'],['0.055985577']
['34900.676'],['17379094.0'],['0.05692077']
['36403.582'],['18334446.0'],['0.059055433']
['34578.73'],['18334446.0'],['17188164.0']
