['12191.914'],['8580745.0'],['0.031412255']
['6419.624'],['9933884.0'],['0.03024157']
['5091.1255'],['10405211.0'],['0.032924164']
['10344.188'],['8291672.0'],['0.027184062']
['11720.268'],['9502449.0'],['0.030301148']
['10546.885'],['10521267.0'],['0.0336247']
['11475.703'],['8503395.0'],['0.027379176']
['7643.467'],['13641226.0'],['0.039877474']
['13596.955'],['12550498.0'],['0.03654138']
['14262.587'],['9509975.0'],['0.031526927']
['14187.16'],['11491544.0'],['0.033357345']
['7731.7524'],['9465524.0'],['0.029700367']
['6184.7925'],['9793579.0'],['0.031181613']
['11922.564'],['8782231.0'],['0.029517954']
['12464.654'],['12227237.0'],['0.036777344']
['12591.851'],['13027906.0'],['0.03814349']
['13003.973'],['11117192.0'],['0.033677865']
['11234.08'],['11639023.0'],['0.03308739']
['6516.857'],['9342905.0'],['0.03164116']
['5703.2437'],['7173284.0'],['0.02612559']
['11259.615'],['7500331.5'],['0.026790671']
['11491.314'],['9141666.0'],['0.029821415']
['12539.933'],['10438276.0'],['0.031065643']
['12260.859'],['10438276.0'],['10395194.0']
