['23535.924'],['10054680.0'],['0.13850805']
['27133.129'],['10064433.0'],['0.071179144']
['19998.812'],['10078241.0'],['0.052261274']
['18188.824'],['10053373.0'],['0.072373785']
['17748.387'],['10053219.0'],['0.07344611']
['19347.316'],['10054960.0'],['0.06952635']
['18016.783'],['10053718.0'],['0.081907235']
['19999.52'],['10058457.0'],['0.0704995']
['18938.209'],['10052110.0'],['0.071009025']
['19711.396'],['10053540.0'],['0.08374684']
['20380.506'],['10055574.0'],['0.07977245']
['20427.887'],['10052384.0'],['0.09130226']
['19779.57'],['10060815.0'],['0.07071166']
['18200.29'],['10062477.0'],['0.06822183']
['17371.018'],['10060312.0'],['0.08496646']
['18324.197'],['10065861.0'],['0.06588589']
['18766.152'],['10057589.0'],['0.073489115']
['18841.137'],['10057354.0'],['0.09920153']
['21005.832'],['10052955.0'],['0.106864214']
['19382.193'],['10056463.0'],['0.07417837']
['18365.72'],['10061235.0'],['0.06357628']
['17275.309'],['10059401.0'],['0.06965303']
['19184.219'],['10055706.0'],['0.06935757']
['20729.492'],['10055706.0'],['10056127.0']
