['44002.293'],['31884292.0'],['0.08710374']
['29493.611'],['46216550.0'],['0.16000566']
['27457.367'],['54971096.0'],['0.21368478']
['37429.88'],['58961988.0'],['0.23226465']
['37005.13'],['52493280.0'],['0.2171739']
['38847.48'],['56378308.0'],['0.20590617']
['39167.266'],['54904052.0'],['0.17647424']
['31721.316'],['36251188.0'],['0.12866563']
['38034.742'],['19394454.0'],['0.07453017']
['29125.764'],['21353746.0'],['0.08051715']
['27168.861'],['28401254.0'],['0.090520285']
['28667.111'],['22005234.0'],['0.07230251']
['26164.082'],['26068240.0'],['0.092854']
['29727.03'],['30269348.0'],['0.09917743']
['32153.76'],['26087676.0'],['0.09677929']
['30206.348'],['28195756.0'],['0.10065197']
['30837.78'],['18905132.0'],['0.07317064']
['28997.13'],['13322967.0'],['0.057317354']
['22307.557'],['16648853.0'],['0.06817865']
['22439.096'],['19836222.0'],['0.076865025']
['24439.545'],['11262628.0'],['0.056146998']
['28949.412'],['12725675.0'],['0.054842014']
['27481.139'],['14915094.0'],['0.06387566']
['25065.033'],['14915094.0'],['52615372.0']
