['22464.822'],['15733753.0'],['0.087105155']
['18444.95'],['16595665.0'],['0.07786139']
['12484.699'],['17634884.0'],['0.08024381']
['20408.064'],['18481144.0'],['0.082578175']
['21499.762'],['17575982.0'],['0.07870778']
['22104.266'],['14530639.0'],['0.06966618']
['21394.527'],['17252986.0'],['0.07786139']
['19099.562'],['20473364.0'],['0.08762548']
['24189.83'],['19015152.0'],['0.08175973']
['24175.076'],['18846850.0'],['0.080105']
['23519.605'],['20260262.0'],['0.09494769']
['21679.654'],['23332054.0'],['0.10514865']
['20457.05'],['21131720.0'],['0.08987202']
['21930.078'],['18828334.0'],['0.08625415']
['26577.404'],['17931114.0'],['0.08189654']
['23097.473'],['21297122.0'],['0.09318235']
['23459.16'],['16477660.0'],['0.07390425']
['21714.723'],['19781170.0'],['0.08846558']
['20660.404'],['21722220.0'],['0.096384384']
['21046.762'],['19409114.0'],['0.08658226']
['23264.645'],['19736910.0'],['0.08625415']
['24017.986'],['19182974.0'],['0.08749564']
['23350.93'],['17838024.0'],['0.077364884']
['24377.826'],['17838024.0'],['21362090.0']
