['164443.55'],['89015096.0'],['0.26709872']
['149383.52'],['24392366.0'],['0.13593641']
['79945.96'],['30131282.0'],['0.15103985']
['97328.15'],['31163460.0'],['0.1503954']
['98590.48'],['31779366.0'],['0.16301508']
['100452.25'],['38806290.0'],['0.18258473']
['112762.734'],['35831412.0'],['0.17621176']
['94271.59'],['33866730.0'],['0.1667812']
['101680.53'],['33208970.0'],['0.16453823']
['100845.24'],['39243804.0'],['0.19314179']
['108795.836'],['29493504.0'],['0.15779763']
['89894.34'],['26750636.0'],['0.14829978']
['77967.11'],['36597052.0'],['0.17118123']
['100181.16'],['32008970.0'],['0.16333583']
['98986.16'],['37189784.0'],['0.18234608']
['104834.484'],['34006204.0'],['0.17277934']
['103390.01'],['39977336.0'],['0.173578']
['119231.734'],['31416402.0'],['0.14709008']
['111198.8'],['33191384.0'],['0.14563772']
['98546.77'],['30298492.0'],['0.14709008']
['102322.92'],['33522120.0'],['0.16429779']
['101179.71'],['38253216.0'],['0.1858443']
['107672.984'],['36118890.0'],['0.16942215']
['102076.69'],['36118890.0'],['70488984.0']
