['34152.934'],['27745708.0'],['0.08665003']
['38920.363'],['27553526.0'],['0.10013024']
['35973.227'],['24612108.0'],['0.089367695']
['43628.633'],['24599332.0'],['0.089442074']
['44878.71'],['21835648.0'],['0.08073321']
['41929.645'],['29039550.0'],['0.10168544']
['47144.215'],['29599358.0'],['0.10494606']
['43150.637'],['26035396.0'],['0.087716214']
['44716.06'],['28820342.0'],['0.09953873']
['45894.234'],['28032196.0'],['0.092368156']
['49777.527'],['22894868.0'],['0.07884837']
['44656.367'],['24063038.0'],['0.08541691']
['38011.39'],['18545892.0'],['0.073512785']
['34585.07'],['18722060.0'],['0.06627247']
['36349.316'],['17577168.0'],['0.06469747']
['39487.35'],['22340240.0'],['0.07514883']
['36697.617'],['24652910.0'],['0.08988705']
['41552.78'],['17284810.0'],['0.06718989']
['36507.316'],['13967460.0'],['0.05503376']
['37441.69'],['16309006.0'],['0.057710897']
['32296.754'],['17068426.0'],['0.06432405']
['33379.086'],['17581390.0'],['0.063479885']
['38408.906'],['17087482.0'],['0.065903634']
['32233.14'],['17087482.0'],['15679956.0']
