['29727.396'],['15348489.0'],['0.06861164']
['23214.83'],['11516027.0'],['0.051256884']
['29759.656'],['10227307.0'],['0.047271855']
['27845.123'],['10996015.0'],['0.05110836']
['28292.322'],['11680182.0'],['0.053864453']
['28543.81'],['12034908.0'],['0.060608618']
['28503.418'],['11854933.0'],['0.062343325']
['28443.385'],['11154316.0'],['0.0532571']
['29204.258'],['13255097.0'],['0.06724245']
['29337.514'],['11447702.0'],['0.054526217']
['29617.879'],['12049870.0'],['0.06294536']
['29627.566'],['12825505.0'],['0.06701563']
['27391.455'],['12556137.0'],['0.060125187']
['29759.596'],['11551584.0'],['0.055706788']
['29762.7'],['10496383.0'],['0.045477036']
['29378.943'],['10859559.0'],['0.04997663']
['29495.418'],['13629062.0'],['0.0586866']
['29260.932'],['11744735.0'],['0.052904375']
['29109.162'],['12416694.0'],['0.06360549']
['27935.201'],['14086390.0'],['0.06826801']
['28813.87'],['11176422.0'],['0.05017257']
['29399.059'],['11472213.0'],['0.052803803']
['29670.484'],['9631699.0'],['0.04284548']
['29719.977'],['9631699.0'],['10566628.0']
