['9720.232'],['20100806.0'],['0.092257865']
['34021.32'],['11800664.0'],['0.09848598']
['27316.334'],['16573741.0'],['0.11483513']
['23873.932'],['14872664.0'],['0.11518988']
['26463.428'],['18911962.0'],['0.11652026']
['22129.686'],['12739017.0'],['0.08823569']
['20366.656'],['17509288.0'],['0.11102188']
['26100.758'],['17293516.0'],['0.116852276']
['25399.979'],['18380672.0'],['0.11162517']
['18498.572'],['19366604.0'],['0.11995952']
['18997.352'],['16861442.0'],['0.11746242']
['21376.943'],['15984717.0'],['0.1144756']
['19153.807'],['15719362.0'],['0.11401949']
['16127.043'],['12979005.0'],['0.10471459']
['18677.252'],['16138312.0'],['0.11030377']
['20824.904'],['13023987.0'],['0.09148886']
['19400.828'],['11244618.0'],['0.08015089']
['18718.318'],['16010679.0'],['0.10766726']
['21507.715'],['13195992.0'],['0.09779661']
['22453.074'],['10546475.0'],['0.08078375']
['17863.531'],['8562783.0'],['0.06197344']
['9521.124'],['16018193.0'],['0.0874175']
['10280.842'],['10846379.0'],['0.06469821']
['9457.936'],['10846379.0'],['3645991.8']
