['35833.492'],['37405184.0'],['0.10283596']
['38316.215'],['39064580.0'],['0.09798973']
['54850.688'],['37169930.0'],['0.09006415']
['46155.57'],['39797380.0'],['0.09765452']
['45792.617'],['42764452.0'],['0.104675956']
['45405.727'],['42965300.0'],['0.110260114']
['49234.75'],['42292504.0'],['0.10687908']
['48313.543'],['44188844.0'],['0.11665867']
['41306.066'],['33095318.0'],['0.08335629']
['40270.945'],['37043410.0'],['0.093046084']
['43056.8'],['34031060.0'],['0.089709215']
['37966.812'],['34167510.0'],['0.09085956']
['37843.707'],['28899088.0'],['0.08167901']
['36697.766'],['33195758.0'],['0.091475196']
['35848.707'],['33857024.0'],['0.085838586']
['36705.387'],['36427784.0'],['0.089709215']
['36268.332'],['24849120.0'],['0.06254509']
['31972.656'],['9499109.0'],['0.03995777']
['14561.234'],['10698084.0'],['0.04515448']
['14557.587'],['22491336.0'],['0.06942864']
['23883.094'],['22557230.0'],['0.06096827']
['27111.934'],['22682366.0'],['0.060333863']
['27607.666'],['26089344.0'],['0.065350324']
['28381.72'],['26089344.0'],['31307262.0']
