['33988.746'],['19976590.0'],['0.11426117']
['42215.547'],['21044342.0'],['0.106277175']
['34359.637'],['19125866.0'],['0.10652625']
['36726.723'],['19518684.0'],['0.116405815']
['38025.227'],['21651398.0'],['0.13069163']
['38707.12'],['18988932.0'],['0.10916477']
['39370.082'],['19365414.0'],['0.108343855']
['43191.117'],['22852150.0'],['0.1328682']
['39561.562'],['19692278.0'],['0.11362121']
['38649.457'],['13874407.0'],['0.063592926']
['39103.266'],['13489111.0'],['0.062201884']
['35842.895'],['12521980.0'],['0.056670036']
['33238.53'],['9846958.0'],['0.046652056']
['33749.242'],['11090957.0'],['0.052991133']
['34157.418'],['11396864.0'],['0.05391518']
['35657.523'],['12194886.0'],['0.052373502']
['34871.2'],['13814383.0'],['0.061204042']
['35606.29'],['13213450.0'],['0.061004058']
['33882.508'],['10678808.0'],['0.053402174']
['36095.316'],['10345591.0'],['0.04853642']
['33751.1'],['10193729.0'],['0.048849355']
['38699.68'],['12310322.0'],['0.060904004']
['35879.22'],['11281650.0'],['0.05677157']
['35394.816'],['11281650.0'],['18860162.0']
