['186498.69'],['66303556.0'],['0.1409327']
['146939.69'],['83743520.0'],['0.17751302']
['239692.06'],['63637388.0'],['0.14085409']
['158635.62'],['63280572.0'],['0.13959251']
['152635.33'],['64320004.0'],['0.14222597']
['158699.73'],['68752296.0'],['0.1490756']
['186747.16'],['80296680.0'],['0.16976371']
['224788.58'],['66334404.0'],['0.14744028']
['164096.25'],['62768424.0'],['0.14018475']
['165570.52'],['74101100.0'],['0.15790807']
['191054.16'],['81125580.0'],['0.17024253']
['228593.34'],['77504740.0'],['0.16339411']
['215828.94'],['66767796.0'],['0.14517647']
['169376.53'],['72054856.0'],['0.15714347']
['184727.02'],['76019730.0'],['0.16268538']
['204071.78'],['72616950.0'],['0.15688798']
['204723.42'],['77059280.0'],['0.16550533']
['221747.28'],['82010744.0'],['0.17675576']
['239114.22'],['81389800.0'],['0.17278735']
['233135.58'],['69006720.0'],['0.14896192']
['188205.1'],['70336984.0'],['0.15204826']
['189795.3'],['70867070.0'],['0.1544266']
['189480.67'],['70462720.0'],['0.15111198']
['198130.12'],['70462720.0'],['70375416.0']
