['36254.49'],['8791864.0'],['0.029116819']
['21645.73'],['6617094.5'],['0.025023552']
['19918.62'],['8353448.5'],['0.030023886']
['34300.434'],['9873566.0'],['0.03310576']
['32821.348'],['9478215.0'],['0.0326677']
['34174.508'],['10803052.0'],['0.035588514']
['33917.164'],['6294674.0'],['0.023813684']
['18963.994'],['9398700.0'],['0.031643834']
['30339.564'],['8981557.0'],['0.030713046']
['32309.06'],['11309820.0'],['0.034396823']
['33388.504'],['6135361.5'],['0.023033187']
['18293.742'],['5963657.5'],['0.022697404']
['17797.346'],['10562473.0'],['0.033909753']
['34674.55'],['9842403.0'],['0.032350935']
['35719.754'],['9324374.0'],['0.031099215']
['33321.31'],['9323489.0'],['0.03137094']
['33240.008'],['9900198.0'],['0.032469537']
['33615.57'],['6013418.0'],['0.022898614']
['18326.672'],['6649793.5'],['0.023950597']
['18482.33'],['10580868.0'],['0.032707404']
['37681.336'],['11139014.0'],['0.033506542']
['36466.535'],['9263468.0'],['0.030559238']
['34354.453'],['9709281.0'],['0.031021792']
['35229.78'],['9709281.0'],['12921450.0']
