['62349.164'],['31135034.0'],['0.07811351']
['57975.266'],['23066114.0'],['0.057386294']
['48099.203'],['24747588.0'],['0.061669085']
['58490.223'],['25948220.0'],['0.06429499']
['61562.477'],['25777116.0'],['0.062245063']
['58967.383'],['25277382.0'],['0.062289212']
['63160.266'],['25880164.0'],['0.06364625']
['53177.613'],['27900628.0'],['0.066713795']
['59324.926'],['29280514.0'],['0.07365758']
['59886.387'],['26356816.0'],['0.06553473']
['60308.242'],['22665380.0'],['0.057105787']
['47767.945'],['23593204.0'],['0.057805438']
['48042.805'],['25588052.0'],['0.06268547']
['56959.625'],['27635792.0'],['0.06506672']
['57003.88'],['24809590.0'],['0.06027972']
['55244.02'],['24406472.0'],['0.060550388']
['58817.652'],['27559100.0'],['0.064553045']
['54329.96'],['24579044.0'],['0.05687137']
['46730.312'],['25572578.0'],['0.057991095']
['43090.777'],['26170178.0'],['0.061401926']
['51781.277'],['27822228.0'],['0.065407366']
['56318.31'],['27672416.0'],['0.06536486']
['60944.465'],['26647148.0'],['0.06683909']
['53293.105'],['26647148.0'],['26114496.0']
