['2500.6392'],['2811193.5'],['0.022787727']
['2575.2505'],['2799868.2'],['0.020968847']
['2294.4785'],['2808215.0'],['0.02218237']
['2578.0427'],['2806070.5'],['0.021743556']
['2575.2505'],['2812877.2'],['0.02430117']
['2388.282'],['2813592.8'],['0.02258051']
['2527.4473'],['2810653.2'],['0.021992207']
['2411.5522'],['2804804.8'],['0.021826964']
['2284.1204'],['2813294.0'],['0.022710433']
['2475.7515'],['2807339.0'],['0.021404633']
['2463.7935'],['2811345.8'],['0.02193736']
['2847.1113'],['2804276.8'],['0.021289755']
['2514.0332'],['2813089.8'],['0.022501891']
['2495.5637'],['2779904.5'],['0.024368227']
['2759.9158'],['2807071.8'],['0.021826964']
['2565.484'],['2719899.0'],['0.02507753']
['2525.5957'],['2790588.5'],['0.023461536']
['2538.1'],['2810437.8'],['0.022501891']
['2642.4993'],['2810766.2'],['0.021909846']
['2243.2646'],['2813405.8'],['0.02228978']
['2519.5813'],['2812414.0'],['0.022396283']
['2806.9934'],['2792260.8'],['0.02021168']
['2472.9905'],['2802394.0'],['0.020458246']
['2636.4082'],['2802394.0'],['2800503.0']
