['35154.027'],['12488288.0'],['0.053958647']
['23913.91'],['15389314.0'],['0.054535802']
['28523.781'],['15025554.0'],['0.055514444']
['32898.75'],['16131423.0'],['0.06088286']
['32194.486'],['17018048.0'],['0.06408256']
['32997.973'],['17852816.0'],['0.06506521']
['32905.664'],['16791270.0'],['0.060508408']
['31765.137'],['22119854.0'],['0.07615107']
['34443.715'],['19383134.0'],['0.06843861']
['35043.832'],['23000640.0'],['0.08073442']
['36569.926'],['19140792.0'],['0.07017382']
['35252.004'],['19077760.0'],['0.06671073']
['34797.29'],['19011282.0'],['0.06671073']
['33475.44'],['22221380.0'],['0.07637166']
['36554.887'],['21001758.0'],['0.07440055']
['35538.098'],['19892126.0'],['0.07061401']
['36369.31'],['19328750.0'],['0.07209337']
['37207.53'],['20251056.0'],['0.069665894']
['35595.56'],['18887868.0'],['0.06450576']
['33664.44'],['18200228.0'],['0.065342866']
['32053.926'],['17951324.0'],['0.065550216']
['32745.105'],['19567812.0'],['0.06921719']
['35237.684'],['17700014.0'],['0.06365623']
['32830.8'],['17700014.0'],['19566928.0']
