['42909.137'],['30069442.0'],['0.2355614']
['47646.39'],['28213358.0'],['0.22702023']
['45389.652'],['30328256.0'],['0.21929261']
['41094.58'],['23916442.0'],['0.18617766']
['41749.19'],['28593018.0'],['0.21082212']
['42602.223'],['23928890.0'],['0.18900847']
['43540.105'],['28306258.0'],['0.21314885']
['44350.0'],['27875632.0'],['0.21847072']
['42590.062'],['31124026.0'],['0.22174859']
['42400.72'],['33139838.0'],['0.24104194']
['45993.797'],['25998042.0'],['0.21046303']
['44792.7'],['29492376.0'],['0.24878906']
['46950.547'],['26914318.0'],['0.20914394']
['45152.89'],['26762430.0'],['0.20896374']
['44632.574'],['28363684.0'],['0.23154162']
['43958.062'],['29849634.0'],['0.24109745']
['46264.54'],['25954486.0'],['0.20721816']
['45336.66'],['31779830.0'],['0.25047052']
['45258.55'],['27404942.0'],['0.22696269']
['43617.707'],['26859196.0'],['0.2260406']
['46429.715'],['23768446.0'],['0.19924726']
['42545.445'],['22731448.0'],['0.19088654']
['42772.914'],['20396390.0'],['0.178036']
['43892.1'],['20396390.0'],['26088756.0']
