['14645.339'],['9150468.0'],['0.04408714']
['15056.016'],['8715535.0'],['0.035792276']
['14855.923'],['9221728.0'],['0.038465016']
['14780.579'],['9118375.0'],['0.035882168']
['14781.168'],['8932987.0'],['0.04335117']
['14671.553'],['9175783.0'],['0.03726346']
['14479.033'],['9119101.0'],['0.03738759']
['14811.104'],['9112016.0'],['0.03763316']
['14441.933'],['9222764.0'],['0.037714224']
['14733.42'],['8999360.0'],['0.036800567']
['15129.629'],['9204405.0'],['0.037012495']
['14879.024'],['9193808.0'],['0.03921857']
['14956.631'],['8913961.0'],['0.036325265']
['14811.885'],['9089906.0'],['0.03619345']
['15000.345'],['9163971.0'],['0.0377949']
['14776.658'],['9210172.0'],['0.03877088']
['14658.852'],['9186835.0'],['0.039935928']
['14996.328'],['9118061.0'],['0.04071807']
['14942.201'],['9220327.0'],['0.039970875']
['14976.981'],['9179056.0'],['0.038231667']
['15103.396'],['8711077.0'],['0.033501886']
['14628.619'],['8787333.0'],['0.036149293']
['14955.861'],['8497437.0'],['0.03472716']
['15164.419'],['8497437.0'],['8607518.0']
