['13703.584'],['4412364.5'],['0.032308463']
['17693.145'],['6003808.5'],['0.03812787']
['29151.15'],['4277593.5'],['0.031044412']
['16789.592'],['4207714.0'],['0.031246241']
['16459.91'],['4194083.2'],['0.030963901']
['14655.76'],['6611899.5'],['0.039046958']
['14928.05'],['6670451.5'],['0.039651524']
['19002.791'],['4265657.0'],['0.030883513']
['17272.855'],['4124046.5'],['0.029771231']
['16325.021'],['4438539.0'],['0.031165417']
['18257.863'],['4362082.5'],['0.031205812']
['20689.527'],['4664664.5'],['0.033098273']
['19298.67'],['4085527.2'],['0.030443631']
['13937.823'],['4707921.0'],['0.032349743']
['16257.997'],['4297236.5'],['0.03060315']
['18536.928'],['5614241.0'],['0.035232093']
['16908.715'],['4919454.5'],['0.033056412']
['15961.952'],['6070089.5'],['0.039139602']
['20228.182'],['6495873.5'],['0.038356394']
['19154.217'],['6590842.0'],['0.038310617']
['13590.806'],['5144459.0'],['0.033687618']
['16674.795'],['4501770.0'],['0.030923694']
['20006.365'],['5334140.0'],['0.03335008']
['19590.885'],['5334140.0'],['5285771.0']
