['9972.71'],['3564601.0'],['0.026936466']
['15899.817'],['4376156.5'],['0.051222537']
['13826.721'],['3731597.0'],['0.040057857']
['13453.421'],['3014214.5'],['0.03285837']
['10506.487'],['2762541.2'],['0.032717973']
['11160.984'],['2774332.5'],['0.032577377']
['10231.346'],['3250795.8'],['0.03580584']
['12045.852'],['2819287.2'],['0.033928085']
['10606.381'],['3366963.2'],['0.03817823']
['10315.496'],['3400301.2'],['0.037912752']
['10690.375'],['3104379.5'],['0.033928085']
['10318.227'],['3054904.8'],['0.032248534']
['8520.546'],['2312790.8'],['0.027676912']
['8446.4375'],['2722718.2'],['0.031965792']
['10540.289'],['2770068.0'],['0.031445347']
['9032.123'],['3125221.5'],['0.031540178']
['7295.971'],['2466234.0'],['0.028558725']
['8097.2876'],['2514272.8'],['0.02928798']
['8063.376'],['2780554.0'],['0.030108336']
['7153.259'],['2632474.2'],['0.028851036']
['7388.3477'],['3502867.5'],['0.034435533']
['8516.105'],['2619254.8'],['0.029384831']
['8512.405'],['3684776.8'],['0.041132215']
['11118.355'],['3684776.8'],['2961817.8']
