['7204.4873'],['7635275.5'],['0.044450223']
['14142.156'],['7389612.0'],['0.057236988']
['11312.604'],['7137817.0'],['0.048437066']
['9328.029'],['7500895.0'],['0.05598524']
['8648.091'],['7582213.0'],['0.060642667']
['10664.279'],['7582292.5'],['0.05667075']
['10937.825'],['7635659.5'],['0.054560132']
['12242.121'],['7549922.0'],['0.055226922']
['11370.553'],['7479547.0'],['0.04857222']
['10205.807'],['6978688.5'],['0.049570274']
['8601.726'],['7603402.0'],['0.05370444']
['9412.437'],['7427249.5'],['0.059656024']
['8120.4644'],['7493791.5'],['0.063558854']
['10224.525'],['7186386.0'],['0.04740781']
['11116.753'],['7603492.0'],['0.054728296']
['10556.083'],['7524612.5'],['0.053296577']
['10411.295'],['7423539.5'],['0.051423572']
['7911.1533'],['7578916.0'],['0.050026752']
['8428.478'],['6024807.5'],['0.041513875']
['8797.91'],['7103080.5'],['0.06170847']
['9420.224'],['6945098.0'],['0.04642191']
['7602.794'],['7588923.5'],['0.04897471']
['9861.187'],['5647290.0'],['0.043467212']
['8086.5386'],['5647290.0'],['5621125.0']
