['13707.487'],['7559060.5'],['0.049053583']
['18484.668'],['6125887.0'],['0.037067946']
['15488.174'],['6390312.0'],['0.03770319']
['16580.096'],['6576751.5'],['0.039916016']
['16584.963'],['6026722.5'],['0.035382207']
['15695.004'],['5828439.0'],['0.034359172']
['15282.096'],['5902736.5'],['0.035236925']
['14042.5'],['5676329.5'],['0.033359256']
['16460.043'],['5889050.5'],['0.0363196']
['17338.209'],['6239027.5'],['0.036283765']
['17747.773'],['6123886.5'],['0.03610435']
['15957.386'],['5501558.0'],['0.032270487']
['15951.648'],['5805031.5'],['0.0339164']
['17800.775'],['6717117.5'],['0.04022152']
['15412.289'],['6075545.0'],['0.035309605']
['16419.467'],['6160294.0'],['0.036462743']
['15190.54'],['6592191.0'],['0.039540738']
['15057.954'],['6054626.5'],['0.03667693']
['14857.945'],['6114261.5'],['0.03710339']
['15245.363'],['6083906.0'],['0.03667693']
['15777.301'],['6187618.5'],['0.036890477']
['13488.654'],['6367070.0'],['0.039335165']
['15793.854'],['6144150.0'],['0.03581635']
['14365.473'],['6144150.0'],['5970376.5']
