['15443.703'],['5860426.5'],['0.03163684']
['14828.881'],['5860426.5'],['0.03163684']
['14828.881'],['5860426.5'],['0.03163684']
['14828.881'],['5860426.5'],['0.03163684']
['14828.881'],['5860426.5'],['0.03163684']
['14828.881'],['5810516.0'],['0.03154577']
['15556.368'],['5810516.0'],['0.03154577']
['15556.368'],['5851739.0'],['0.03122413']
['15626.721'],['5851739.0'],['0.03122413']
['15626.721'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['0.031696007']
['16053.4'],['5737678.0'],['5843870.0']
