['37798.285'],['15899622.0'],['0.05869032']
['28040.21'],['15969963.0'],['0.07864287']
['20048.05'],['12367675.0'],['0.06920729']
['22677.402'],['16091567.0'],['0.075657114']
['21518.059'],['13324970.0'],['0.07419594']
['23667.936'],['15794653.0'],['0.07734582']
['25442.824'],['15741351.0'],['0.07221967']
['21740.062'],['13834032.0'],['0.07133982']
['23712.916'],['10966411.0'],['0.07129742']
['23556.654'],['15781787.0'],['0.08120716']
['24412.088'],['15871139.0'],['0.078677185']
['20793.443'],['15484368.0'],['0.08261673']
['18976.203'],['15884487.0'],['0.0888481']
['26160.781'],['16025219.0'],['0.09205884']
['27651.217'],['15975340.0'],['0.0890055']
['27535.646'],['16095196.0'],['0.0908148']
['28578.234'],['15836471.0'],['0.09185193']
['29888.828'],['16056508.0'],['0.08323606']
['21947.623'],['14421296.0'],['0.07684095']
['18178.404'],['16038849.0'],['0.09211479']
['24345.877'],['16025421.0'],['0.08695298']
['25476.988'],['16102131.0'],['0.08511501']
['26413.883'],['11820953.0'],['0.073522255']
['22795.77'],['11820953.0'],['13932913.0']
