['22080.654'],['68274456.0'],['0.17872433']
['51602.42'],['99016696.0'],['0.24319707']
['70872.875'],['140429970.0'],['0.3720199']
['116537.71'],['140903740.0'],['0.37868348']
['118359.91'],['140143630.0'],['0.37902716']
['118175.43'],['126672550.0'],['0.34601754']
['108890.27'],['42428268.0'],['0.12803091']
['65902.28'],['141145420.0'],['0.37904316']
['117995.6'],['141178180.0'],['0.37946054']
['116751.984'],['140607380.0'],['0.37402847']
['117465.94'],['91756650.0'],['0.21931909']
['76227.91'],['83504260.0'],['0.20381169']
['64918.98'],['138384860.0'],['0.36508828']
['115407.9'],['131800470.0'],['0.347929']
['109472.99'],['132006400.0'],['0.35296947']
['115127.97'],['131883730.0'],['0.35226664']
['111861.445'],['121147850.0'],['0.31479344']
['108525.15'],['92905350.0'],['0.23831296']
['79308.25'],['100506400.0'],['0.2552451']
['71323.305'],['73908120.0'],['0.19720586']
['91356.51'],['64160160.0'],['0.17495571']
['85725.8'],['72312400.0'],['0.20364854']
['83734.77'],['38558664.0'],['0.118144125']
['65017.844'],['38558664.0'],['18204410.0']
