['8504.798'],['14531057.0'],['0.048535213']
['9410.706'],['12715472.0'],['0.041831635']
['9271.547'],['13192913.0'],['0.041148365']
['8677.631'],['12108877.0'],['0.04039588']
['8066.0513'],['12888190.0'],['0.041395824']
['8514.862'],['12203358.0'],['0.040254857']
['8681.584'],['12091388.0'],['0.0408158']
['8555.246'],['11487439.0'],['0.038491704']
['8517.962'],['13189093.0'],['0.044413116']
['8722.414'],['11743266.0'],['0.039541837']
['8940.23'],['12520306.0'],['0.041668825']
['9277.056'],['11706894.0'],['0.04014166']
['9144.945'],['12606667.0'],['0.041804552']
['8635.843'],['12034387.0'],['0.040620424']
['8173.474'],['11618433.0'],['0.038698077']
['8111.479'],['12324632.0'],['0.040480237']
['8505.572'],['14259403.0'],['0.044886366']
['8777.4375'],['14160044.0'],['0.046217103']
['9096.635'],['13761413.0'],['0.04515715']
['9094.974'],['15609201.0'],['0.049350657']
['9473.723'],['14962755.0'],['0.046710066']
['9801.135'],['15131711.0'],['0.04602712']
['9421.897'],['15993442.0'],['0.04844788']
['9566.433'],['15993442.0'],['14039580.0']
