['14222.628'],['13748466.0'],['0.053195328']
['23074.445'],['5417733.5'],['0.026550852']
['11118.392'],['8526196.0'],['0.04194357']
['15554.893'],['10346287.0'],['0.05218192']
['16917.402'],['9508298.0'],['0.047010113']
['17483.867'],['9187767.0'],['0.048911016']
['18501.463'],['12223592.0'],['0.05147132']
['20905.994'],['6827736.0'],['0.035903346']
['16107.659'],['10258633.0'],['0.048348572']
['17477.283'],['8705117.0'],['0.04592592']
['18786.41'],['10686220.0'],['0.049792487']
['21241.738'],['11812996.0'],['0.048838343']
['20771.459'],['9143205.0'],['0.048387326']
['17007.998'],['10059912.0'],['0.048502516']
['18587.93'],['8586823.0'],['0.04669124']
['18718.695'],['9970693.0'],['0.04740612']
['18921.686'],['8479183.0'],['0.04607333']
['18480.342'],['11210881.0'],['0.051879205']
['19576.688'],['10642059.0'],['0.05250246']
['18415.514'],['7853374.0'],['0.043130994']
['15214.021'],['11160797.0'],['0.05253']
['19571.81'],['9842369.0'],['0.04778667']
['19518.555'],['9965007.0'],['0.049194656']
['20598.053'],['9965007.0'],['8115098.5']
