['119668.67'],['49222028.0'],['0.17044562']
['133641.52'],['45318004.0'],['0.17949446']
['98862.32'],['55027224.0'],['0.252125']
['130717.445'],['54133132.0'],['0.24816725']
['134573.14'],['51121100.0'],['0.24156298']
['135894.12'],['54857228.0'],['0.25045288']
['142284.7'],['53463364.0'],['0.23134679']
['118136.43'],['53365920.0'],['0.236494']
['129556.43'],['51562376.0'],['0.22684696']
['124400.195'],['54153252.0'],['0.24551214']
['137983.64'],['50251124.0'],['0.20959198']
['113435.79'],['45822016.0'],['0.19096896']
['105450.6'],['55012350.0'],['0.2501227']
['136053.22'],['53634628.0'],['0.24482323']
['139534.14'],['52764344.0'],['0.23976092']
['136637.73'],['54417616.0'],['0.24617779']
['139866.27'],['55242068.0'],['0.25403243']
['137832.83'],['54728790.0'],['0.2383945']
['120151.45'],['51127396.0'],['0.21046023']
['107800.73'],['53676576.0'],['0.24196234']
['134893.83'],['54378308.0'],['0.24231221']
['134828.14'],['54519104.0'],['0.24051435']
['138302.69'],['55257172.0'],['0.25148576']
['135028.25'],['55257172.0'],['50414784.0']
