['21276.81'],['14957784.0'],['0.06551841']
['30861.863'],['15347880.0'],['0.065427676']
['15670.488'],['14726410.0'],['0.07261074']
['25887.441'],['15425699.0'],['0.046394613']
['25568.428'],['15765944.0'],['0.05506281']
['25810.854'],['15625182.0'],['0.0639212']
['25586.69'],['15905485.0'],['0.056040034']
['22210.203'],['15607426.0'],['0.06058774']
['29788.715'],['15082242.0'],['0.058336783']
['30569.0'],['13838659.0'],['0.06411521']
['28850.28'],['14454692.0'],['0.056802493']
['21962.59'],['15762270.0'],['0.05754802']
['20692.436'],['13052037.0'],['0.074691296']
['27264.86'],['15880396.0'],['0.05815649']
['27167.508'],['15099449.0'],['0.065473095']
['25115.955'],['15937322.0'],['0.07092894']
['18992.975'],['14219273.0'],['0.05316561']
['21004.932'],['13345516.0'],['0.05013641']
['16019.816'],['11560142.0'],['0.051389482']
['15345.014'],['15225822.0'],['0.06984921']
['20785.758'],['14305358.0'],['0.0582167']
['18523.5'],['15703314.0'],['0.06302761']
['19451.584'],['15726155.0'],['0.05167896']
['21735.246'],['15726155.0'],['14554252.0']
