['45820.953'],['26158914.0'],['0.11920793']
['62539.883'],['26820246.0'],['0.12550831']
['57134.133'],['23449966.0'],['0.10373384']
['51272.492'],['25138074.0'],['0.10928298']
['51138.293'],['25009630.0'],['0.11268705']
['50768.46'],['23834726.0'],['0.10945554']
['53123.992'],['28437252.0'],['0.1230861']
['53619.2'],['23932544.0'],['0.10945554']
['50005.934'],['23515342.0'],['0.10784712']
['49156.266'],['24159740.0'],['0.111530714']
['53508.367'],['29804906.0'],['0.13734312']
['52081.9'],['27167002.0'],['0.12645626']
['51908.05'],['23389878.0'],['0.106415175']
['48401.566'],['25466752.0'],['0.11477469']
['45267.812'],['26465824.0'],['0.121085']
['45173.508'],['25073800.0'],['0.11570508']
['48963.125'],['25835616.0'],['0.12326301']
['51491.527'],['25869126.0'],['0.12538993']
['50980.6'],['25314946.0'],['0.11850562']
['48771.24'],['21989172.0'],['0.10344941']
['46317.953'],['24117364.0'],['0.11112658']
['46938.76'],['25513780.0'],['0.11582149']
['47310.516'],['24709956.0'],['0.10968572']
['47054.723'],['24709956.0'],['25412676.0']
