['11014.745'],['6158335.5'],['0.028634047']
['17076.404'],['5058734.0'],['0.030878825']
['11587.162'],['4885337.5'],['0.029364422']
['11425.191'],['5282338.0'],['0.033150237']
['11680.6455'],['4975607.0'],['0.029298186']
['11065.226'],['6284670.5'],['0.037137862']
['10883.732'],['7327283.5'],['0.039541315']
['12148.671'],['7476490.5'],['0.03474816']
['10929.521'],['7364068.0'],['0.037013263']
['12007.727'],['8106763.5'],['0.038129915']
['13312.565'],['6809883.0'],['0.037386656']
['12094.66'],['6734810.0'],['0.035634074']
['11657.869'],['6936538.5'],['0.035065297']
['12311.354'],['7060330.0'],['0.034493864']
['13550.357'],['5983733.5'],['0.03289267']
['12041.409'],['8059945.5'],['0.036200203']
['12080.566'],['10484770.0'],['0.041476227']
['16104.509'],['5238974.0'],['0.03198708']
['12995.0205'],['5316411.5'],['0.029496793']
['12781.823'],['7354335.0'],['0.038868457']
['12746.773'],['5754119.0'],['0.03417526']
['12558.118'],['5114825.5'],['0.03081334']
['12244.114'],['6295355.0'],['0.035823077']
['12629.093'],['6295355.0'],['4740293.0']
