['3493.33'],['4757940.0'],['0.018765736']
['4200.572'],['2374691.0'],['0.0150021445']
['3073.9604'],['2638014.5'],['0.016089873']
['3846.6748'],['2219158.5'],['0.014743101']
['3474.6667'],['2782974.5'],['0.017346479']
['3475.4148'],['2745724.2'],['0.017122656']
['4034.7903'],['2989076.0'],['0.017346479']
['4231.6567'],['2597224.0'],['0.016795943']
['4482.063'],['2867746.8'],['0.017161196']
['4752.8467'],['2536827.0'],['0.015933098']
['4502.994'],['3873460.5'],['0.018709492']
['3675.769'],['3599587.8'],['0.018243326']
['4003.456'],['2072424.8'],['0.0154296355']
['3739.7183'],['3001875.0'],['0.017486025']
['4247.069'],['2158983.8'],['0.015065205']
['4692.4766'],['2282971.0'],['0.0151275955']
['4417.5986'],['3030804.0'],['0.017944576']
['4369.53'],['3328067.0'],['0.018220592']
['4338.8755'],['2760424.5'],['0.01652864']
['3673.641'],['2626591.5'],['0.016140942']
['3777.8105'],['2690841.0'],['0.016752746']
['4650.885'],['2974260.2'],['0.017346479']
['4669.8022'],['2296220.0'],['0.015603096']
['4201.774'],['2296220.0'],['2318998.8']
