['51646.312'],['27520124.0'],['0.15643163']
['102553.55'],['26985434.0'],['0.156299']
['70035.19'],['22772424.0'],['0.12518759']
['60531.074'],['29186188.0'],['0.16830352']
['61735.25'],['31434244.0'],['0.17015104']
['58596.082'],['29184956.0'],['0.16818325']
['65270.902'],['38543692.0'],['0.20107946']
['77260.13'],['31167310.0'],['0.16914164']
['78640.86'],['33340804.0'],['0.1680629']
['74708.914'],['28467086.0'],['0.14935201']
['72054.96'],['40557736.0'],['0.19813357']
['81304.195'],['37556212.0'],['0.19011106']
['80650.56'],['23430372.0'],['0.14429994']
['66853.42'],['28431454.0'],['0.17888813']
['84863.25'],['29521788.0'],['0.17185202']
['79759.695'],['29938326.0'],['0.17573851']
['71782.86'],['28992686.0'],['0.17003277']
['67631.484'],['36128280.0'],['0.20186982']
['71575.07'],['41190028.0'],['0.22787106']
['81739.41'],['31752076.0'],['0.18209946']
['70160.8'],['26689816.0'],['0.18199411']
['75908.484'],['32564302.0'],['0.19474846']
['73091.15'],['29034396.0'],['0.18479812']
['73915.62'],['29034396.0'],['13090090.0']
