['49730.758'],['21804074.0'],['0.073552705']
['51390.617'],['23847684.0'],['0.064012654']
['50898.95'],['23920480.0'],['0.06370114']
['48691.133'],['20824958.0'],['0.058473114']
['47320.84'],['22377392.0'],['0.065180175']
['48416.324'],['16581997.0'],['0.04851999']
['47667.902'],['20311298.0'],['0.055970013']
['49148.105'],['24619540.0'],['0.06929666']
['47248.38'],['22479616.0'],['0.061518554']
['45422.203'],['20584052.0'],['0.055656873']
['46157.902'],['23576248.0'],['0.069064036']
['47836.734'],['22987118.0'],['0.06463546']
['48589.164'],['19758078.0'],['0.053306676']
['47081.055'],['20545832.0'],['0.058942035']
['46495.08'],['20136742.0'],['0.058942035']
['46422.43'],['23863612.0'],['0.07115593']
['46966.754'],['21943740.0'],['0.065724656']
['49246.56'],['22367120.0'],['0.062766165']
['48439.09'],['23315730.0'],['0.06533576']
['50492.504'],['20702096.0'],['0.05987945']
['48434.54'],['19344970.0'],['0.05581345']
['47653.453'],['17047558.0'],['0.04584814']
['49296.773'],['18008310.0'],['0.04836289']
['47520.426'],['18008310.0'],['21978492.0']
