['15778.513'],['3886834.8'],['0.021806091']
['19742.496'],['4005902.8'],['0.019720703']
['14175.306'],['4043745.5'],['0.019487921']
['14174.138'],['4066185.8'],['0.01924665']
['13266.056'],['4067310.5'],['0.018839035']
['13369.521'],['4006971.5'],['0.019978724']
['13149.912'],['4050010.5'],['0.019451354']
['15459.918'],['3993544.2'],['0.020176966']
['13404.474'],['3954999.0'],['0.020320868']
['13169.096'],['3998115.8'],['0.020028967']
['13876.68'],['4067620.0'],['0.019189773']
['14832.829'],['4037206.8'],['0.019720703']
['14780.124'],['4050307.5'],['0.019578459']
['13013.355'],['3998528.8'],['0.020241428']
['14140.688'],['3978846.5'],['0.020566557']
['16238.382'],['3976661.0'],['0.020566557']
['16301.318'],['3995211.0'],['0.019876875']
['14432.516'],['4068245.2'],['0.019265514']
['14416.301'],['3898647.8'],['0.02093805']
['14332.408'],['3937587.8'],['0.02066996']
['13875.504'],['4031260.5'],['0.019377619']
['13473.096'],['3939980.2'],['0.020713512']
['14405.487'],['3901443.8'],['0.021149525']
['15527.318'],['3901443.8'],['4085609.8']
