['15910.179'],['7608971.5'],['0.036135092']
['15578.5'],['6038244.0'],['0.033624336']
['15373.447'],['5602663.0'],['0.030982953']
['16048.026'],['5276073.5'],['0.029183967']
['15552.978'],['4555010.0'],['0.02826746']
['15704.305'],['5149205.5'],['0.03028091']
['16061.328'],['4611414.0'],['0.02826746']
['15181.85'],['6385445.0'],['0.033970904']
['15706.601'],['5128264.0'],['0.029061878']
['16658.588'],['4860632.0'],['0.026564308']
['16053.919'],['4551577.5'],['0.02818167']
['15284.459'],['4774973.5'],['0.028310198']
['15159.876'],['4444040.0'],['0.02796537']
['15620.45'],['4856334.0'],['0.029224463']
['15530.657'],['4935624.5'],['0.029305158']
['15648.05'],['4869745.5'],['0.026981901']
['15172.476'],['5506777.0'],['0.03087431']
['15575.694'],['7044861.0'],['0.0330838']
['15210.395'],['4370068.0'],['0.026423097']
['14521.768'],['5445246.5'],['0.030393986']
['15835.558'],['6364021.5'],['0.033741064']
['16088.066'],['6335805.5'],['0.030318696']
['15938.421'],['4651374.5'],['0.027210027']
['15650.132'],['4651374.5'],['5496854.5']
