['16769.986'],['17961730.0'],['0.069364205']
['13067.779'],['7745496.5'],['0.038807698']
['9767.398'],['16550809.0'],['0.063281715']
['14772.501'],['22178280.0'],['0.08103335']
['15146.963'],['20449464.0'],['0.080209404']
['13712.245'],['15849255.0'],['0.062402']
['12666.062'],['23090934.0'],['0.08803086']
['12673.777'],['12440397.0'],['0.058744516']
['16432.578'],['12479324.0'],['0.053341836']
['12285.18'],['5944626.0'],['0.034254882']
['10941.396'],['3494069.2'],['0.018704226']
['7219.865'],['3819737.0'],['0.023218947']
['7795.539'],['7824733.5'],['0.03449608']
['6986.374'],['3428065.5'],['0.017693121']
['5672.2993'],['2333724.8'],['0.01566234']
['5246.2324'],['4624924.5'],['0.025083102']
['5110.9194'],['3390711.0'],['0.017313218']
['1631.1626'],['1115317.9'],['0.00911275']
['198.0'],['49694.7'],['0.0083']
['198.0'],['49694.7'],['0.0083']
['198.0'],['49694.7'],['0.0083']
['198.0'],['49694.7'],['0.0083']
['198.0'],['49694.7'],['0.0083']
['198.0'],['49694.7'],['40540388.0']
