['9794.623'],['8179015.5'],['0.037921254']
['20453.486'],['10455832.0'],['0.045362458']
['16675.871'],['12180806.0'],['0.044631798']
['15767.934'],['12871373.0'],['0.04281394']
['14815.505'],['9676655.0'],['0.03844829']
['14643.895'],['11608361.0'],['0.04624612']
['15795.708'],['11979461.0'],['0.044030424']
['18389.531'],['11432039.0'],['0.04505403']
['16141.92'],['8774593.0'],['0.03910917']
['15103.139'],['12861404.0'],['0.048907384']
['16081.156'],['16573981.0'],['0.053435545']
['21026.309'],['16564814.0'],['0.05328618']
['15394.636'],['9304280.0'],['0.043111846']
['15392.836'],['7728868.0'],['0.036107738']
['16807.436'],['9815954.0'],['0.036832478']
['16222.296'],['12298804.0'],['0.043862183']
['17770.092'],['13190932.0'],['0.048034374']
['16660.748'],['15102986.0'],['0.04901463']
['15552.702'],['12056649.0'],['0.04510592']
['18053.443'],['12586366.0'],['0.046480674']
['17148.11'],['10564356.0'],['0.044141572']
['18014.768'],['9877355.0'],['0.042933732']
['17379.096'],['9775854.0'],['0.042388063']
['19028.113'],['9775854.0'],['7309122.0']
