['2730.508'],['983315.0'],['0.020620877']
['2018.052'],['1027861.75'],['0.02077358']
['2859.9316'],['1079542.2'],['0.020711297']
['3497.2546'],['1145740.8'],['0.020612413']
['2974.1294'],['1114611.1'],['0.02068835']
['2637.3638'],['916316.25'],['0.020911468']
['2738.0347'],['991320.5'],['0.020825766']
['2512.3706'],['1127039.4'],['0.020656647']
['2149.868'],['1137371.5'],['0.02063204']
['2149.868'],['1110603.1'],['0.02066469']
['1906.1826'],['1108895.5'],['0.020672655']
['2541.977'],['1103856.1'],['0.02066469']
['1876.6061'],['1089141.2'],['0.020721266']
['2293.3635'],['1113485.0'],['0.020698635']
['2255.413'],['1067997.4'],['0.020769002']
['2508.2307'],['1134383.5'],['0.020640321']
['2761.946'],['1135404.1'],['0.020626476']
['2073.5613'],['1130993.6'],['0.020626476']
['2108.1294'],['1142716.4'],['0.020606726']
['2368.6472'],['1123959.2'],['0.02063757']
['2511.543'],['1093683.6'],['0.020696077']
['3004.5715'],['1075947.1'],['0.0207574']
['2517.3293'],['1080330.9'],['0.020747958']
['2875.4614'],['1080330.9'],['1135708.6']
