['8153.245'],['5244137.0'],['0.037749104']
['12057.721'],['4364881.0'],['0.02967796']
['9847.665'],['3993921.2'],['0.028008014']
['9348.697'],['5986632.5'],['0.03678774']
['9301.864'],['4456163.0'],['0.027617324']
['8876.197'],['4096323.8'],['0.028267369']
['9001.088'],['3623872.5'],['0.02590127']
['8881.264'],['3564335.8'],['0.02583452']
['9185.76'],['3658711.5'],['0.025700854']
['8816.582'],['3757901.2'],['0.027158994']
['9197.529'],['4619461.5'],['0.032296505']
['9169.806'],['4586383.0'],['0.030937057']
['9280.715'],['4666462.0'],['0.030937057']
['10020.822'],['5753136.5'],['0.033988085']
['8964.708'],['3566524.2'],['0.026234189']
['9055.663'],['4370588.5'],['0.026961735']
['9405.942'],['3347403.5'],['0.026101189']
['9491.217'],['3845627.0'],['0.0284613']
['8469.147'],['3085553.5'],['0.025029203']
['9108.416'],['6202241.5'],['0.030058011']
['7914.298'],['5443981.0'],['0.033689186']
['8509.5625'],['4280527.5'],['0.030310275']
['9521.591'],['3940536.5'],['0.026101189']
['8864.604'],['3940536.5'],['3825198.0']
