['21761.709'],['18389654.0'],['0.058862846']
['29424.162'],['15104344.0'],['0.059495747']
['22398.635'],['17608368.0'],['0.061733574']
['25538.766'],['18193116.0'],['0.062083215']
['26682.156'],['17916624.0'],['0.062057905']
['25413.545'],['16759737.0'],['0.060942616']
['25991.908'],['16294897.0'],['0.06068538']
['24389.264'],['13842763.0'],['0.054172322']
['24326.273'],['15226431.0'],['0.059667237']
['24054.293'],['16956436.0'],['0.061952453']
['24927.242'],['16883304.0'],['0.06154774']
['23992.523'],['13116826.0'],['0.051486626']
['22136.592'],['15245865.0'],['0.058009192']
['25447.908'],['14281291.0'],['0.054769434']
['24434.348'],['16278537.0'],['0.06082927']
['25043.541'],['15646080.0'],['0.05818903']
['25964.684'],['15122160.0'],['0.058449876']
['25172.654'],['14141230.0'],['0.05311223']
['24228.807'],['16375553.0'],['0.061878983']
['23591.107'],['16074634.0'],['0.05928098']
['25322.777'],['15992505.0'],['0.059460636']
['25037.1'],['14995143.0'],['0.056167815']
['24882.549'],['15214344.0'],['0.058492325']
['24303.25'],['15214344.0'],['14952387.0']
