['32200.746'],['33925052.0'],['0.18396921']
['48213.492'],['22254772.0'],['0.108143054']
['42654.867'],['17064572.0'],['0.090312794']
['39243.27'],['19325244.0'],['0.09757957']
['39970.44'],['22474574.0'],['0.1115466']
['40089.22'],['23288462.0'],['0.114130884']
['38629.496'],['22418098.0'],['0.1126683']
['43535.44'],['17733350.0'],['0.08961178']
['41509.906'],['22868150.0'],['0.101382166']
['39766.688'],['22720350.0'],['0.11224841']
['39079.4'],['25140632.0'],['0.101751305']
['42069.65'],['26416640.0'],['0.11392262']
['41762.91'],['26936376.0'],['0.11203813']
['39199.875'],['18548762.0'],['0.0882032']
['41584.527'],['20369884.0'],['0.09201712']
['38398.85'],['18528460.0'],['0.08984571']
['39997.473'],['19805832.0'],['0.09500649']
['41527.92'],['21633276.0'],['0.11013549']
['43960.336'],['22076520.0'],['0.10344105']
['44405.777'],['20732656.0'],['0.10864302']
['41336.582'],['22085400.0'],['0.10735491']
['41106.727'],['23617578.0'],['0.09606969']
['39578.934'],['23105936.0'],['0.09818056']
['39663.383'],['23105936.0'],['17303672.0']
