['1345.2108'],['549670.7'],['0.008970782']
['1277.6956'],['340076.06'],['0.008117706']
['1293.7378'],['302253.75'],['0.007976679']
['1334.301'],['300027.44'],['0.00786832']
['1231.5435'],['368936.0'],['0.008082816']
['1325.6447'],['286954.44'],['0.007757715']
['1330.9598'],['294162.88'],['0.008220918']
['1197.7026'],['353649.06'],['0.008152352']
['1306.3213'],['306562.3'],['0.007976679']
['1372.1207'],['413680.25'],['0.00828852']
['1352.442'],['308667.4'],['0.00786832']
['1347.6183'],['331496.47'],['0.008220918']
['1361.0897'],['322245.8'],['0.008117706']
['1368.3711'],['303233.2'],['0.007904688']
['1304.0594'],['289337.34'],['0.0077948337']
['1356.8574'],['294018.53'],['0.007904688']
['1316.9724'],['291920.38'],['0.007904688']
['1287.8232'],['299053.28'],['0.00786832']
['1291.6544'],['302662.5'],['0.007831702']
['1321.8953'],['288410.06'],['0.0077948337']
['1242.4093'],['292581.2'],['0.0077948337']
['1344.5325'],['311583.3'],['0.007940806']
['1372.1843'],['299224.47'],['0.007831702']
['1335.6461'],['299224.47'],['298144.97']
