['979.70447'],['3188811.8'],['0.017676828']
['2714.132'],['2880971.2'],['0.012410585']
['1595.8817'],['3001556.0'],['0.013854461']
['1654.0051'],['3535981.2'],['0.023847688']
['2469.6187'],['3027563.2'],['0.015860796']
['4085.5415'],['3261862.5'],['0.019967373']
['3898.4119'],['3689185.8'],['0.02818097']
['3166.8064'],['3263766.5'],['0.019181015']
['2757.1216'],['3298987.5'],['0.020080065']
['1930.8757'],['3465829.0'],['0.022696085']
['3121.4321'],['3754857.5'],['0.029490525']
['3311.9482'],['3434846.8'],['0.023155708']
['2677.6262'],['3214506.0'],['0.018677803']
['2642.6682'],['3198010.2'],['0.017344795']
['3203.282'],['3244792.5'],['0.019125013']
['3935.9895'],['3480152.5'],['0.021609984']
['3471.281'],['3190753.5'],['0.017068725']
['3332.2944'],['3375080.8'],['0.019293087']
['2813.0864'],['3225666.5'],['0.018065229']
['3512.839'],['3064647.2'],['0.015152248']
['3192.1938'],['3162945.5'],['0.0172343']
['2514.3938'],['3532297.8'],['0.024426663']
['2997.0544'],['2993218.2'],['0.014501676']
['2594.2126'],['2993218.2'],['3732717.5']
