['3847.7646'],['7781329.0'],['0.023565287']
['8870.664'],['1774355.4'],['0.016391523']
['2838.2905'],['1476946.1'],['0.01707952']
['4774.561'],['1335564.2'],['0.01433515']
['4498.61'],['1530049.8'],['0.0138973845']
['3219.4695'],['1094481.5'],['0.013450533']
['3039.9185'],['1455014.5'],['0.01433515']
['2764.1184'],['1533927.2'],['0.014593492']
['3838.5193'],['1819094.2'],['0.016234951']
['3510.9238'],['1597317.4'],['0.016234951']
['3436.675'],['1570427.2'],['0.015513489']
['4155.083'],['1367951.4'],['0.013630371']
['3281.7427'],['1519762.6'],['0.015431605']
['3642.9'],['1727736.8'],['0.015757065']
['3491.1052'],['2864156.2'],['0.01944317']
['4186.2456'],['1800985.6'],['0.015676219']
['4868.042'],['1542753.5'],['0.015183861']
['4248.3477'],['1718389.6'],['0.015100582']
['3321.0713'],['1190183.2'],['0.013630371']
['2745.9722'],['1422664.2'],['0.014593492']
['4567.1763'],['1218899.6'],['0.0138973845']
['4990.0415'],['1650304.5'],['0.015100582']
['4042.1187'],['1215025.2'],['0.013630371']
['3347.2302'],['1215025.2'],['1647205.1']
