['4096.5107'],['892541.94'],['0.018626753']
['4702.0337'],['732877.3'],['0.014505559']
['4499.756'],['275355.6'],['0.013541883']
['3855.5906'],['431568.56'],['0.012523673']
['4669.463'],['413067.2'],['0.01199367']
['3940.1638'],['419016.34'],['0.013039685']
['4003.0828'],['723581.0'],['0.014598983']
['4003.6265'],['271559.38'],['0.011338948']
['3910.8242'],['419376.94'],['0.011777709']
['3748.224'],['374670.5'],['0.012627989']
['3903.4263'],['668598.0'],['0.014411604']
['4243.8228'],['475093.06'],['0.012207361']
['4138.5347'],['509736.9'],['0.0128349485']
['3999.2747'],['584599.0'],['0.0110038435']
['3916.498'],['646661.94'],['0.014784244']
['3693.8928'],['508117.53'],['0.013738934']
['3872.4229'],['546951.44'],['0.012418797']
['3943.5234'],['762655.0'],['0.014876085']
['4454.6484'],['903003.5'],['0.014784244']
['4741.9033'],['1000189.2'],['0.014784244']
['3859.6655'],['540890.0'],['0.013141223']
['3817.3967'],['535934.2'],['0.013141223']
['3872.4229'],['1097008.2'],['0.015327447']
['3855.008'],['1097008.2'],['852958.9']
