['7949.1357'],['1422713.6'],['0.011922925']
['8097.721'],['2464433.8'],['0.01301235']
['9237.832'],['2735003.5'],['0.013639766']
['8053.322'],['2488246.2'],['0.01358284']
['5509.976'],['974702.4'],['0.011058591']
['5909.4453'],['2334758.8'],['0.012783566']
['7623.423'],['1634810.6'],['0.012095373']
['7753.0933'],['1686268.9'],['0.01175033']
['7356.093'],['1059590.8'],['0.011000856']
['6305.4805'],['844730.9'],['0.010711992']
['6907.8345'],['2175738.5'],['0.012095373']
['7821.0137'],['1825149.2'],['0.011980426']
['8245.0'],['2011243.9'],['0.012783566']
['7092.4736'],['2337642.5'],['0.013183723']
['8537.049'],['1702038.8'],['0.012210254']
['7135.1978'],['1796488.2'],['0.01238244']
['7134.162'],['1295015.0'],['0.011692768']
['6670.4277'],['1806557.5'],['0.012037908']
['7714.58'],['2845194.5'],['0.015223609']
['7177.431'],['2745002.0'],['0.013639766']
['6325.522'],['1473011.8'],['0.011635187']
['7112.334'],['1839655.9'],['0.011635187']
['5977.924'],['2616444.0'],['0.012611769']
['7679.002'],['2616444.0'],['1817525.4']
