['12517.346'],['16189937.0'],['0.08490373']
['14953.095'],['15468754.0'],['0.07886426']
['14906.56'],['14420748.0'],['0.07631435']
['15399.848'],['11888266.0'],['0.06637096']
['15577.064'],['12909284.0'],['0.06740858']
['14848.614'],['14597790.0'],['0.084641635']
['15421.138'],['14295709.0'],['0.08598059']
['15427.652'],['15618542.0'],['0.08642072']
['15958.1'],['15931156.0'],['0.08532914']
['15292.48'],['14689702.0'],['0.08521707']
['14793.042'],['13763766.0'],['0.07840933']
['16076.653'],['14226048.0'],['0.08862998']
['14764.934'],['12571004.0'],['0.0793901']
['15337.174'],['12877738.0'],['0.076988496']
['14910.43'],['12057181.0'],['0.06758885']
['14861.065'],['12115414.0'],['0.067946896']
['14907.204'],['15421429.0'],['0.07383585']
['16367.672'],['13082115.0'],['0.06587317']
['16196.59'],['14890650.0'],['0.080019936']
['16574.646'],['12450417.0'],['0.06876931']
['16023.963'],['13272210.0'],['0.06479492']
['14706.703'],['8712273.0'],['0.040640227']
['14971.156'],['10249384.0'],['0.05181611']
['14292.9795'],['10249384.0'],['10127761.0']
