['8269.857'],['1399977.8'],['0.013038126']
['8999.114'],['1322527.4'],['0.013327397']
['10452.234'],['1287460.4'],['0.014717896']
['9685.606'],['1300164.2'],['0.013183768']
['9515.24'],['1254549.2'],['0.01339846']
['9722.888'],['2040241.4'],['0.01759875']
['9686.829'],['2967341.5'],['0.019230437']
['9698.445'],['1339431.2'],['0.0136086745']
['8875.788'],['1144888.9'],['0.013111199']
['9016.525'],['2701516.5'],['0.017327948']
['8935.003'],['2818807.0'],['0.018486748']
['8685.764'],['1393268.1'],['0.014015885']
['8785.878'],['1267584.4'],['0.013746356']
['9444.545'],['1550735.8'],['0.014405828']
['9240.369'],['1323862.2'],['0.014342018']
['9971.296'],['2405316.0'],['0.016161386']
['9363.245'],['1642537.9'],['0.015250917']
['9737.546'],['1708854.2'],['0.016111193']
['10833.655'],['1127333.1'],['0.013183768']
['9917.859'],['1417074.8'],['0.014015885']
['9174.767'],['1376057.4'],['0.013949226']
['9125.807'],['2014974.6'],['0.015694685']
['9138.207'],['1342231.2'],['0.014082061']
['9777.826'],['1342231.2'],['1345975.9']
