['1922.445'],['342006.1'],['0.01721061']
['1957.0417'],['509993.9'],['0.0174089']
['1883.3126'],['496472.97'],['0.017448599']
['1830.6503'],['495395.16'],['0.01745333']
['1803.2'],['512264.75'],['0.01739846']
['1732.7466'],['490144.78'],['0.017462632']
['1721.6279'],['494295.66'],['0.017467206']
['1833.5416'],['487074.8'],['0.017554596']
['1816.4127'],['512591.53'],['0.017403707']
['1781.4545'],['504535.25'],['0.017462632']
['1812.6271'],['502563.9'],['0.017467206']
['1821.6519'],['496004.75'],['0.017471729']
['1899.5847'],['501443.62'],['0.017462632']
['1776.3167'],['480607.72'],['0.01757705']
['1902.8483'],['471292.12'],['0.01753697']
['1901.0094'],['500118.56'],['0.017506024']
['1870.3085'],['482698.25'],['0.017521918']
['1780.0216'],['498394.3'],['0.01745333']
['1874.4492'],['440962.3'],['0.017585877']
['1874.7653'],['496016.38'],['0.017489294']
['1798.7004'],['500289.0'],['0.017476197']
['1836.4098'],['490788.03'],['0.017510077']
['1903.2703'],['511985.5'],['0.017419135']
['1837.4792'],['511985.5'],['452979.84']
