['48515.523'],['17164516.0'],['0.10941167']
['55589.938'],['24183440.0'],['0.18761565']
['47082.28'],['22463460.0'],['0.16026835']
['43074.086'],['21864782.0'],['0.15501134']
['42785.91'],['19620740.0'],['0.13888669']
['38318.08'],['20512700.0'],['0.15021189']
['41375.598'],['17667974.0'],['0.114033885']
['39652.895'],['20503032.0'],['0.12578303']
['46821.37'],['20222414.0'],['0.12564254']
['49328.188'],['20772842.0'],['0.13266563']
['46164.023'],['18886460.0'],['0.11552545']
['38324.082'],['20001588.0'],['0.12766865']
['41933.742'],['20069462.0'],['0.13420981']
['44760.04'],['22290670.0'],['0.180297']
['46043.473'],['23306930.0'],['0.18109952']
['48909.926'],['24970260.0'],['0.20702508']
['49808.574'],['22000798.0'],['0.1842955']
['47858.234'],['21112000.0'],['0.1827329']
['48909.926'],['21767730.0'],['0.18796803']
['45410.566'],['22891906.0'],['0.18659545']
['42626.51'],['23850266.0'],['0.18936498']
['50163.05'],['23653414.0'],['0.19516295']
['45527.29'],['23411084.0'],['0.18809985']
['44531.637'],['23411084.0'],['17027396.0']
