['14480.317'],['18408684.0'],['0.0552386']
['16709.418'],['15886979.0'],['0.030703299']
['9869.6045'],['18732534.0'],['0.037685517']
['11012.8955'],['18252110.0'],['0.036012474']
['10607.15'],['18489650.0'],['0.03705175']
['10391.575'],['18152836.0'],['0.03541397']
['11174.74'],['15073874.0'],['0.029471839']
['8956.5205'],['18350506.0'],['0.03548097']
['11452.41'],['17577908.0'],['0.033837736']
['10412.815'],['18746034.0'],['0.038368918']
['11078.316'],['16406995.0'],['0.031898923']
['8879.477'],['18674616.0'],['0.036536034']
['8621.3'],['18635926.0'],['0.038183954']
['11137.104'],['18252976.0'],['0.036012474']
['10800.567'],['18589294.0'],['0.037115663']
['11333.1'],['18539538.0'],['0.036794864']
['11176.061'],['18723122.0'],['0.037748236']
['11527.502'],['15940817.0'],['0.03138019']
['9354.575'],['14540978.0'],['0.029393658']
['8813.125'],['18651658.0'],['0.037748236']
['12767.57'],['18611010.0'],['0.03743345']
['11607.819'],['18221292.0'],['0.03541397']
['13907.49'],['17758074.0'],['0.034047198']
['14039.842'],['17758074.0'],['18082898.0']
