['53355.52'],['40033468.0'],['0.14364326']
['60134.688'],['37670380.0'],['0.14446919']
['54296.19'],['39643136.0'],['0.16663018']
['52282.758'],['40766680.0'],['0.16170135']
['52327.098'],['39517604.0'],['0.14833893']
['54071.03'],['38587130.0'],['0.14094429']
['53091.668'],['38394750.0'],['0.1458023']
['54954.176'],['37843576.0'],['0.14460695']
['53037.848'],['37194308.0'],['0.14423963']
['50500.105'],['39821056.0'],['0.150376']
['52704.7'],['42356690.0'],['0.16801105']
['54030.145'],['40605230.0'],['0.15000513']
['52052.043'],['35878264.0'],['0.12153207']
['48146.51'],['35501616.0'],['0.12364907']
['49256.605'],['36278950.0'],['0.12973973']
['50098.754'],['35222970.0'],['0.12822151']
['48474.332'],['40094148.0'],['0.14963447']
['50420.977'],['35304972.0'],['0.12613006']
['51340.098'],['40953290.0'],['0.15028326']
['49540.594'],['37093540.0'],['0.13409494']
['48832.598'],['36672172.0'],['0.13139683']
['47948.95'],['38401732.0'],['0.1335092']
['52937.773'],['38345190.0'],['0.12599684']
['52412.58'],['38345190.0'],['36597660.0']
