['18842.914'],['11611530.0'],['0.059939057']
['18842.914'],['11611530.0'],['0.059939057']
['18842.914'],['11611530.0'],['0.059939057']
['18842.914'],['11611530.0'],['0.059939057']
['18842.914'],['11611530.0'],['0.059939057']
['18842.914'],['19215.672'],['0.0076999995']
['62.0'],['19215.672'],['0.0076999995']
['62.0'],['11634610.0'],['0.0598868']
['17604.53'],['11249337.0'],['0.05892801']
['18111.172'],['11628117.0'],['0.059807472']
['18771.754'],['11622691.0'],['0.06022007']
['19198.146'],['11471353.0'],['0.06026565']
['18853.729'],['9396165.0'],['0.05281668']
['17936.61'],['11619824.0'],['0.060174003']
['18168.227'],['11092415.0'],['0.05956385']
['19043.914'],['11054955.0'],['0.056542996']
['19050.197'],['11613383.0'],['0.060252212']
['19335.977'],['11389584.0'],['0.059158333']
['19217.697'],['11574443.0'],['0.05969859']
['19231.986'],['8768482.0'],['0.051687077']
['17939.248'],['11634454.0'],['0.060010716']
['18647.152'],['11393945.0'],['0.059848007']
['19226.736'],['10969811.0'],['0.06010196']
['18915.021'],['10969811.0'],['11611530.0']
