['29456.463'],['18705126.0'],['0.07232986']
['61389.465'],['16869192.0'],['0.061444443']
['30715.55'],['14673144.0'],['0.050786152']
['30490.207'],['17928028.0'],['0.06320981']
['28484.81'],['14773178.0'],['0.052270617']
['30169.814'],['17542032.0'],['0.06154678']
['31528.428'],['19209218.0'],['0.0629267']
['29274.947'],['16686492.0'],['0.054983906']
['26723.693'],['22627974.0'],['0.066808425']
['30236.559'],['19597278.0'],['0.060066927']
['31393.863'],['21805454.0'],['0.06695595']
['34280.324'],['15399758.0'],['0.05284648']
['32199.29'],['19921402.0'],['0.060121547']
['28899.166'],['17902338.0'],['0.057407346']
['28113.18'],['15896017.0'],['0.05511677']
['27888.174'],['15725954.0'],['0.056094233']
['27545.855'],['19618428.0'],['0.058010448']
['28811.758'],['19050866.0'],['0.06376299']
['29300.512'],['18522442.0'],['0.06185075']
['31514.45'],['16132453.0'],['0.055642236']
['28941.537'],['17563758.0'],['0.06403315']
['29000.664'],['16752476.0'],['0.05842426']
['29274.064'],['19876476.0'],['0.06552596']
['28291.102'],['19876476.0'],['16441090.0']
