['14539.042'],['43803420.0'],['0.17485905']
['25786.094'],['31424430.0'],['0.12598193']
['23296.473'],['37408588.0'],['0.16462752']
['19427.21'],['44160140.0'],['0.1895785']
['21973.799'],['38963620.0'],['0.17611627']
['21755.756'],['45676870.0'],['0.19075365']
['26214.432'],['31491150.0'],['0.1201081']
['24940.953'],['42342860.0'],['0.18133831']
['23610.145'],['38500084.0'],['0.16579214']
['20044.168'],['39594804.0'],['0.1727306']
['25428.29'],['24480360.0'],['0.118185155']
['20758.94'],['17286842.0'],['0.08071156']
['19042.254'],['12750593.0'],['0.07122548']
['19964.322'],['17357596.0'],['0.08463984']
['20566.887'],['21637814.0'],['0.086114846']
['21673.775'],['17598458.0'],['0.06963387']
['18450.574'],['11988094.0'],['0.05045354']
['16932.236'],['15453850.0'],['0.05153777']
['16433.246'],['16918734.0'],['0.058362406']
['15388.973'],['3478904.8'],['0.026555937']
['12445.51'],['952293.5'],['0.017615048']
['11467.621'],['1995960.1'],['0.021998838']
['12059.755'],['952293.5'],['0.014160491']
['11852.318'],['952293.5'],['8783291.0']
