['16308.368'],['5613997.5'],['0.031881828']
['17473.043'],['4435275.0'],['0.02832866']
['15449.774'],['5014294.0'],['0.029671391']
['15401.551'],['4559192.0'],['0.028861629']
['16216.605'],['4228531.5'],['0.028187249']
['15645.611'],['4347316.0'],['0.028433677']
['15462.871'],['4471842.0'],['0.028572304']
['16396.807'],['4757665.5'],['0.029418923']
['16465.488'],['4849051.0'],['0.029192884']
['15594.0205'],['4730225.5'],['0.02912742']
['16495.834'],['4791655.0'],['0.02912742']
['15875.063'],['4965379.5'],['0.029593168']
['16044.928'],['5324114.0'],['0.031330153']
['16222.7705'],['4502726.5'],['0.030128011']
['16028.047'],['5033820.0'],['0.03046338']
['15816.227'],['5108774.5'],['0.031029839']
['16523.336'],['4867729.5'],['0.030506188']
['16495.834'],['4722916.0'],['0.02994798']
['16168.788'],['5012551.5'],['0.030661307']
['15774.664'],['4396867.0'],['0.029143823']
['16173.042'],['4374724.0'],['0.028911946']
['15550.783'],['4369448.5'],['0.02892867']
['16129.596'],['4413340.5'],['0.029094543']
['15968.639'],['4413340.5'],['4761829.0']
