['13068.345'],['4744425.5'],['0.038841948']
['14648.228'],['4441196.0'],['0.034215532']
['15901.164'],['4121687.5'],['0.02733202']
['13733.08'],['4288151.0'],['0.02992015']
['13480.91'],['4207693.5'],['0.031408504']
['14452.749'],['4243961.5'],['0.032435503']
['14269.825'],['4308514.0'],['0.0327267']
['14758.679'],['4304290.0'],['0.03209452']
['13526.1455'],['4482603.5'],['0.037390422']
['13430.443'],['4636813.5'],['0.03431069']
['13880.146'],['4383560.5'],['0.035350252']
['15509.746'],['4501106.5'],['0.04218257']
['15489.392'],['4506044.5'],['0.034595504']
['14789.527'],['5006636.0'],['0.047757693']
['15723.153'],['4607329.0'],['0.03848159']
['14427.63'],['5278742.5'],['0.05401531']
['13634.081'],['4719950.0'],['0.03861692']
['13405.846'],['4462674.5'],['0.037252963']
['13178.022'],['4235514.0'],['0.031408504']
['14104.924'],['4219717.0'],['0.029015068']
['13464.723'],['4491965.5'],['0.034024898']
['12761.953'],['4531288.0'],['0.03605158']
['12858.307'],['4422424.0'],['0.033161648']
['13080.674'],['4422424.0'],['4457535.0']
