['2780.2593'],['2208275.5'],['0.014632312']
['3367.5896'],['1378197.0'],['0.012569261']
['3185.4194'],['1361840.2'],['0.013091917']
['3276.2532'],['2525934.0'],['0.014062745']
['3109.6812'],['1436488.1'],['0.013132217']
['3325.1106'],['1666842.2'],['0.013293558']
['3362.3325'],['1792159.2'],['0.013738321']
['3272.3223'],['1110793.6'],['0.012168868']
['3200.3455'],['1436193.9'],['0.013212861']
['2932.933'],['1196945.0'],['0.012328848']
['3024.2158'],['2528392.5'],['0.0152040515']
['3605.166'],['1106899.8'],['0.0117301745']
['2988.188'],['1239318.4'],['0.012208841']
['3399.2056'],['1533398.5'],['0.012930849']
['3570.2646'],['1913360.5'],['0.013616867']
['3151.4697'],['1637760.1'],['0.012770003']
['3107.6384'],['1300744.5'],['0.012930849']
['3288.3179'],['1295943.8'],['0.012529156']
['2910.1736'],['1630343.4'],['0.012328848']
['3197.6797'],['1473989.5'],['0.012408928']
['3113.757'],['1361764.9'],['0.012408928']
['3357.3794'],['1379981.6'],['0.0124890655']
['3356.3857'],['1572659.0'],['0.0128906155']
['3361.3438'],['1572659.0'],['1328842.6']
