['61495.215'],['51434496.0'],['0.17502163']
['95311.64'],['73077510.0'],['0.1835028']
['128543.47'],['65442216.0'],['0.16652949']
['112547.85'],['70126824.0'],['0.17515112']
['111693.76'],['69422990.0'],['0.1783077']
['113733.34'],['68655610.0'],['0.17574097']
['115751.875'],['67212260.0'],['0.1738065']
['122694.055'],['67561270.0'],['0.17219813']
['110295.24'],['70350904.0'],['0.17863378']
['114684.75'],['71949544.0'],['0.1835321']
['119739.664'],['71373190.0'],['0.18289392']
['126843.84'],['73789624.0'],['0.18268995']
['129347.34'],['71946790.0'],['0.18321003']
['118700.92'],['73601370.0'],['0.18335558']
['114532.49'],['69574250.0'],['0.17523684']
['113212.53'],['72251120.0'],['0.18048018']
['115254.86'],['71550370.0'],['0.18170394']
['113887.71'],['70183600.0'],['0.18140854']
['122067.586'],['71122136.0'],['0.1811335']
['124855.43'],['68903060.0'],['0.1810675']
['118894.71'],['66739748.0'],['0.1743124']
['112216.266'],['71492616.0'],['0.1826942']
['113974.664'],['59424730.0'],['0.13570864']
['105700.38'],['59424730.0'],['28676126.0']
